mode_rank,m,n,frequency_Hz,angular_order,radial_order,radial_eigenvalue,membrane_bessel_zero,orientation_deg,single_mode_correlation,actuator_coupling,mode_frequency_family,resonator_model,mixture_weight,drive_amplitude_proxy,actuator_compensated_amplitude_proxy,drive_amplitude_physical,note,fit_rmse,fit_correlation,relative_fit_error,inverse_regularization
1,2,2,913.8770036762554,2,2,9.19688259964121,8.417244140399866,86.24999999999999,0.5083935650626287,0.031537769912845875,"(m=2, n=2)",Clamped circular thin plate,0.5058605531399191,0.7112387455277722,22.55196697462342,1.0,A#5,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
2,2,1,376.8304823272411,2,1,5.905678235421149,5.135622301840683,86.24999999999999,0.4291039512932881,0.03,"(m=2, n=1)",Clamped circular thin plate,0.11605358703152494,0.34066638670629795,11.355546223543266,0.5035279732504524,F#4,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
3,5,2,1856.2529864930516,5,2,13.10736371498483,12.338604197466944,0.0,0.46171805179528747,0.20632681619708096,"(m=5, n=2)",Clamped circular thin plate,0.046762004786267165,0.21624524222804803,1.0480714345026927,0.04647361516988891,A#6,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
4,4,2,1513.8020861180607,4,2,11.83671845685201,11.064709488501185,22.5,0.5482144723024728,0.2789621892068491,"(m=4, n=2)",Clamped circular thin plate,0.050692616176395935,0.22515020803098526,0.8070993731126674,0.03578842475340866,F#6,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
5,5,5,5714.546696947407,5,5,22.997872454938022,22.217799896561267,0.0,0.4065465594444275,0.17476512203021954,"(m=5, n=5)",Clamped circular thin plate,0.12129309997198388,0.3482715893838943,1.9927980213561882,0.08836470998731873,F8,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
6,3,2,1199.535788579396,3,2,10.53666986656252,9.76102312998167,57.5,0.5847076780544844,0.21916913937445384,"(m=3, n=2)",Clamped circular thin plate,0.06744748786667004,0.2597065418249414,1.1849594453224037,0.05254350747567954,D6,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
7,7,3,3924.3142055139333,7,3,19.058058439613717,18.28758283248173,0.0,0.39651476574447514,0.19830516782121355,"(m=7, n=3)",Clamped circular thin plate,0.04540505534989843,0.21308462016273824,1.0745288310128631,0.047646789844184134,B7,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
8,1,1,229.70891364979835,1,1,4.610899879048562,3.8317059702075125,142.5,0.6732789004983746,0.46646063347364464,"(m=1, n=1)",Clamped circular thin plate,0.04648559567734057,0.21560518471813375,0.46221517797238854,0.020495559367060788,A#3,0.210482191355201,0.7187777134348142,0.8335546948059331,0.002
